C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_51_049.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_51_049.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_51_049.jpg, 0, 0, 0, 5.900448E-05
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_51_152.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_51_152.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_51_152.jpg, 0, 0, 0, 3.77398E-05
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_51_281.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_51_281.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_51_281.jpg, 0, 0, 0, 3.813296E-05
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_51_382.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_51_382.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_51_382.jpg, 0, 0, 0, 3.847707E-05
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_51_502.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_51_502.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_51_502.jpg, 0, 0, 0, 4.017289E-05
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_51_603.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_51_603.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_51_603.jpg, 0, 0, 0, 3.918298E-05
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_51_704.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_51_704.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_51_704.jpg, 0, 0, 0, 4.95552E-05
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_51_808.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_51_808.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_51_808.jpg, 0, 0, 0, 4.38945E-05
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_51_911.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_51_911.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_51_911.jpg, 0, 0, 0, 0.0001026053
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_52_013.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_52_013.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_52_013.jpg, 0, 0, 0, 5.607103E-05
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_52_113.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_52_113.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_52_113.jpg, 0, 0, 0, 7.246396E-05
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_52_216.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_52_216.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_52_216.jpg, 0, 0, 0, 0.0001173256
C:\Users\Shreyas\data\IMG\center_2021_04_23_18_43_52_321.jpg, C:\Users\Shreyas\data\IMG\left_2021_04_23_18_43_52_321.jpg, C:\Users\Shreyas\data\IMG\right_2021_04_23_18_43_52_321.jpg, 0, 0, 0, 8.167453E-05
